target,source,weight
Bahamas,Albania,2
Bahamas,Andorra,26
Bahamas,Argentina,23
Bahamas,Australia,2
Bahamas,Austria,4
Bahamas,Azerbaijan,4
Bahamas,Barbados,2
Bahamas,Belgium,8
Bahamas,Belize,250
Bahamas,Bermuda,19
Bahamas,Brazil,33
Bahamas,British Virgin Islands,145
Bahamas,Bulgaria,2
Bahamas,Canada,35
Bahamas,Cayman Islands,7
Bahamas,Chile,14
Bahamas,China,5
Bahamas,Colombia,22
Bahamas,Costa Rica,32
Bahamas,Cyprus,649
Bahamas,Czech Republic,2
Bahamas,Denmark,4
Bahamas,Dominican Republic,8
Bahamas,Ecuador,49
Bahamas,Egypt,5
Bahamas,El Salvador,6
Bahamas,Estonia,114
Bahamas,Finland,32
Bahamas,France,23
Bahamas,Germany,1
Bahamas,Ghana,1
Bahamas,Gibraltar,150
Bahamas,Greece,7
Bahamas,Guatemala,39
Bahamas,Guernsey,1504
Bahamas,Honduras,1
Bahamas,Hong Kong,960
Bahamas,Hungary,4
Bahamas,Ireland,25
Bahamas,Isle of Man,883
Bahamas,Israel,16
Bahamas,Italy,3
Bahamas,Jamaica,1
Bahamas,Jersey,1241
Bahamas,Jordan,14
Bahamas,Kenya,1
Bahamas,Kuwait,2
Bahamas,Latvia,51
Bahamas,Lebanon,7
Bahamas,Liechtenstein,87
Bahamas,Lithuania,2
Bahamas,Luxembourg,423
Bahamas,Malaysia,1
Bahamas,Malta,11
Bahamas,Mauritius,136
Bahamas,Mexico,3
Bahamas,Monaco,83
Bahamas,Netherlands,28
Bahamas,New Zealand,7
Bahamas,Nigeria,5
Bahamas,Niue,1
Bahamas,Norway,1
Bahamas,Pakistan,1
Bahamas,Panama,1118
Bahamas,Paraguay,10
Bahamas,Peru,2
Bahamas,Philippines,2
Bahamas,Poland,58
Bahamas,Portugal,44
Bahamas,Qatar,4
Bahamas,Russia,1335
Bahamas,Saint Kitts and Nevis,9
Bahamas,Samoa,121
Bahamas,Saudi Arabia,4
Bahamas,Seychelles,67
Bahamas,Singapore,91
Bahamas,Slovenia,3
Bahamas,South Africa,8
Bahamas,Spain,163
Bahamas,Sweden,22
Bahamas,Switzerland,2127
Bahamas,Syria,2
Bahamas,Taiwan,242
Bahamas,Thailand,25
Bahamas,Turkey,3
Bahamas,Turks and Caicos Islands,5
Bahamas,U.S. Virgin Islands,2
Bahamas,Ukraine,82
Bahamas,United Arab Emirates,648
Bahamas,United Kingdom,1319
Bahamas,United States,402
Bahamas,Uruguay,317
Bahamas,Venezuela,18
Bahamas,Viet Nam,2
Belize,British Virgin Islands,1
Belize,China,1
Belize,Colombia,19
Belize,Cyprus,11
Belize,Ecuador,5
Belize,Gibraltar,2
Belize,Hong Kong,6
Belize,Israel,10
Belize,Luxembourg,8
Belize,Monaco,2
Belize,Panama,40
Belize,Russia,3
Belize,Seychelles,1
Belize,Singapore,1
Belize,Switzerland,4
Belize,United Arab Emirates,1
Belize,United Kingdom,2
Belize,United States,2
Belize,Uruguay,4
Belize,Venezuela,7
British Anguilla,Anguilla,21
British Anguilla,Aruba,4
British Anguilla,Australia,1
British Anguilla,Austria,1
British Anguilla,Bahamas,45
British Anguilla,Belgium,1
British Anguilla,Belize,19
British Anguilla,Brazil,14
British Anguilla,British Virgin Islands,1
British Anguilla,Canada,2
British Anguilla,Chile,2
British Anguilla,China,148
British Anguilla,Colombia,59
British Anguilla,Costa Rica,11
British Anguilla,Cyprus,5
British Anguilla,Dominican Republic,24
British Anguilla,Ecuador,146
British Anguilla,El Salvador,1
British Anguilla,Estonia,1
British Anguilla,France,10
British Anguilla,Georgia,1
British Anguilla,Germany,1
British Anguilla,Ghana,1
British Anguilla,Guatemala,23
British Anguilla,Guernsey,27
British Anguilla,Hong Kong,1366
British Anguilla,Ireland,1
British Anguilla,Isle of Man,35
British Anguilla,Israel,150
British Anguilla,Italy,204
British Anguilla,Jersey,2
British Anguilla,Kenya,2
British Anguilla,Liechtenstein,5
British Anguilla,Lithuania,1
British Anguilla,Luxembourg,7
British Anguilla,Malaysia,1
British Anguilla,Monaco,4
British Anguilla,Netherlands,4
British Anguilla,Panama,278
British Anguilla,Philippines,1
British Anguilla,Romania,2
British Anguilla,Russia,73
British Anguilla,Samoa,2
British Anguilla,Seychelles,2
British Anguilla,Singapore,15
British Anguilla,Slovenia,16
British Anguilla,Spain,3
British Anguilla,Switzerland,96
British Anguilla,Taiwan,1
British Anguilla,Thailand,3
British Anguilla,Ukraine,1
British Anguilla,United Arab Emirates,242
British Anguilla,United Kingdom,31
British Anguilla,United States,32
British Anguilla,Uruguay,67
British Anguilla,Venezuela,24
British Virgin Islands,Andorra,39
British Virgin Islands,Angola,10
British Virgin Islands,Anguilla,2
British Virgin Islands,Antigua and Barbuda,1
British Virgin Islands,Argentina,83
British Virgin Islands,Aruba,19
British Virgin Islands,Australia,63
British Virgin Islands,Austria,7
British Virgin Islands,Azerbaijan,4
British Virgin Islands,Bahamas,1762
British Virgin Islands,Bahrain,10
British Virgin Islands,Bangladesh,2
British Virgin Islands,Barbados,14
British Virgin Islands,Belarus,14
British Virgin Islands,Belgium,18
British Virgin Islands,Belize,166
British Virgin Islands,Bermuda,102
British Virgin Islands,Bolivia,2
British Virgin Islands,Botswana,2
British Virgin Islands,Brazil,472
British Virgin Islands,Brunei,1
British Virgin Islands,Bulgaria,20
British Virgin Islands,Canada,186
British Virgin Islands,Cayman Islands,65
British Virgin Islands,Central African Republic,1
British Virgin Islands,Chad,10
British Virgin Islands,Chile,31
British Virgin Islands,China,2134
British Virgin Islands,Colombia,261
British Virgin Islands,Costa Rica,141
British Virgin Islands,Croatia,2
British Virgin Islands,Cuba,8
British Virgin Islands,Curaçao,10
British Virgin Islands,Cyprus,1868
British Virgin Islands,Czech Republic,24
British Virgin Islands,Côte d'Ivoire,10
British Virgin Islands,Denmark,4
British Virgin Islands,Dominica,4
British Virgin Islands,Dominican Republic,130
British Virgin Islands,Ecuador,252
British Virgin Islands,Egypt,12
British Virgin Islands,El Salvador,19
British Virgin Islands,Estonia,644
British Virgin Islands,Finland,25
British Virgin Islands,France,136
British Virgin Islands,Germany,31
British Virgin Islands,Ghana,1
British Virgin Islands,Gibraltar,1583
British Virgin Islands,Greece,60
British Virgin Islands,Guam,1
British Virgin Islands,Guatemala,184
British Virgin Islands,Guernsey,4714
British Virgin Islands,Haiti,3
British Virgin Islands,Honduras,4
British Virgin Islands,Hong Kong,27228
British Virgin Islands,Hungary,25
British Virgin Islands,Iceland,14
British Virgin Islands,India,12
British Virgin Islands,Indonesia,26
British Virgin Islands,Ireland,184
British Virgin Islands,Isle of Man,3023
British Virgin Islands,Israel,171
British Virgin Islands,Italy,31
British Virgin Islands,Jamaica,3
British Virgin Islands,Japan,14
British Virgin Islands,Jersey,10467
British Virgin Islands,Jordan,1144
British Virgin Islands,Kazakhstan,4
British Virgin Islands,Kenya,15
British Virgin Islands,Kuwait,9
British Virgin Islands,Latvia,1302
British Virgin Islands,Lebanon,209
British Virgin Islands,Libya,1
British Virgin Islands,Liechtenstein,1268
British Virgin Islands,Lithuania,4
British Virgin Islands,Luxembourg,3081
British Virgin Islands,Macao,24
British Virgin Islands,Macedonia,1
British Virgin Islands,Malawi,1
British Virgin Islands,Malaysia,28
British Virgin Islands,Mali,8
British Virgin Islands,Malta,462
British Virgin Islands,Mauritius,917
British Virgin Islands,Mexico,14
British Virgin Islands,Moldova,2
British Virgin Islands,Monaco,1035
British Virgin Islands,Montenegro,12
British Virgin Islands,Morocco,21
British Virgin Islands,Mozambique,1
British Virgin Islands,Netherlands,75
British Virgin Islands,New Zealand,19
British Virgin Islands,Nicaragua,2
British Virgin Islands,Nigeria,12
British Virgin Islands,Niue,13
British Virgin Islands,Norway,5
British Virgin Islands,Oman,2
British Virgin Islands,Pakistan,1
British Virgin Islands,Panama,4788
British Virgin Islands,Paraguay,27
British Virgin Islands,Peru,10
British Virgin Islands,Philippines,14
British Virgin Islands,Poland,28
British Virgin Islands,Portugal,62
British Virgin Islands,Qatar,10
British Virgin Islands,Romania,2
British Virgin Islands,Russia,2295
British Virgin Islands,Saint Kitts and Nevis,26
British Virgin Islands,Saint Lucia,3
British Virgin Islands,Saint Vincent and the Grenadines,3
British Virgin Islands,Samoa,250
British Virgin Islands,Saudi Arabia,74
